tconst	averageRating	numVotes
tt11778080	6.3	92
tt15433480	7.1	17
tt15433482	7.0	10
tt4010036	7.5	13
tt10010684	7.2	10
tt6964844	4.9	325
tt8653972	8.3	22
tt15433462	7.5	19
tt6675682	6.8	12
tt10984580	7.6	137
tt10288968	6.2	47
tt10984588	6.9	20
tt13048788	6.4	5
tt10695380	9.3	70
tt8653984	6.7	16
tt7048100	6.4	13
tt10288976	4.8	6
tt10984598	7.7	198
tt10695372	6.3	174
tt10695368	5.6	169
tt10010670	8.6	51
tt6386486	5.2	25
tt10695362	6.6	262
tt13323330	6.2	950
tt10695344	6.2	267
tt7758392	8.3	68
tt7758398	8.0	29
tt11107932	7.8	7
tt13612502	6.6	15
tt11107936	8.0	9
tt11107938	6.9	8
tt9158242	6.5	66
tt11107944	7.1	8
tt11357084	9.2	1306
tt8364722	6.9	19
tt11357096	9.5	11
tt5817548	5.2	240
tt10852750	6.5	66
tt11935418	8.6	335
tt14827004	6.4	12
tt6411984	6.0	1099
tt11778044	5.3	511
tt6661080	8.1	177
tt15986332	7.4	5
tt6661082	7.3	118
tt9315672	5.7	226
tt5817574	7.8	59
tt13758998	9.1	25
tt5817584	8.1	397
tt8364700	7.3	68
tt8364704	7.8	72
tt4866734	5.5	10
tt8785840	7.2	40
tt13876134	6.9	54
tt9579360	7.6	11
tt11935376	4.6	5
tt13469804	5.3	2024
tt7927636	7.8	119
tt13469818	6.7	1938
tt13876114	4.7	13
tt7927666	6.9	56
tt11935392	7.0	14
tt13469822	4.7	1507
tt5239208	7.5	122
tt12097996	7.1	24
tt18339640	4.5	12
tt7626576	7.4	955
tt10720816	6.3	836
tt3783958	8.0	565270
tt12097938	7.9	16
tt11935320	7.8	5
tt11935324	8.7	6
tt11935326	8.3	7
tt13587028	8.2	1979
tt3480136	7.8	30
tt7927628	7.6	6
tt5528356	6.8	35
tt12083320	2.4	19
tt6950296	7.9	11
tt6097280	5.0	68
tt11803654	6.6	153
tt6675736	7.7	24
tt6675718	7.4	9
tt13455258	6.3	15
tt7626546	7.5	833
tt6240032	5.7	17
tt6097298	7.3	15
tt11803666	8.1	29
tt10720862	7.0	9
tt13587000	9.0	16
tt6254666	6.9	102
tt5528388	5.6	5
tt5528396	6.3	8
tt6950260	3.0	20
tt8653906	7.9	38
tt6543762	7.5	21
tt4010104	7.9	8
tt10984520	7.7	142
tt8061000	4.3	10
tt6254642	7.1	60
tt6254644	6.5	28
tt13612448	7.2	609
tt6097244	8.3	11
tt11803614	6.5	158
tt8496508	6.4	378
tt6254630	7.6	8
tt4998632	6.1	35065
tt10010628	6.3	30
tt6950220	2.9	153
tt15158960	6.2	249
tt7913060	7.7	8
tt4720316	6.5	14
tt4313960	8.1	581
tt12950962	8.3	13
tt7758248	7.8	6
tt8364690	7.4	115
tt13034246	9.1	16
tt8364692	7.0	99
tt4313954	6.4	22
tt8364696	7.4	97
tt12950970	7.2	12
tt12950994	7.7	11
tt4313982	4.7	625
tt8061098	7.8	442
tt6661152	6.5	26
tt8061086	8.2	458
tt15144156	7.6	8
tt12950938	7.9	13
tt10563630	6.8	9
tt9158140	6.1	11
tt4998492	8.8	6
tt6543714	7.3	15
tt15144182	7.4	8
tt15144168	7.2	6
tt11778118	6.5	4888
tt6411854	8.3	2635
tt15433516	7.0	5
tt6411842	7.9	2653
tt6411846	8.2	2637
tt11935308	7.6	7
tt4602984	6.4	90
tt6832910	8.8	8
tt6832918	1.5	31
tt9579186	5.1	11
tt15433534	6.5	60
tt11935310	8.0	6
tt11935316	7.6	5
tt11935318	8.3	8
tt12950902	6.0	1895
tt6411862	8.4	3420
tt11935302	8.0	10
tt11935306	7.7	28
tt4602920	7.0	46
tt6832936	6.3	204
tt12729080	5.6	11
tt5817456	4.5	424
tt11949914	8.1	2345
tt2888516	9.2	9
tt5528512	9.1	12
tt6832976	7.0	12
tt12097846	5.9	12
tt9090994	5.6	11
tt9090998	5.7	9
tt4156300	8.3	10
tt15301484	9.1	18
tt9579230	9.0	212
tt11935240	7.2	12
tt9090982	7.7	12
tt10431824	6.1	174
tt6411908	7.7	31
tt7205300	7.2	5
tt10431860	7.8	122
tt13469944	6.5	67
tt11225266	7.7	42
tt7913148	4.9	15
tt19761606	8.8	5
tt18339576	7.1	7
tt11935266	7.6	42
tt5949572	8.6	147
tt8496414	6.2	34
tt8061104	7.6	407
tt8785764	8.6	3337
tt5528446	7.6	12
tt11935214	7.4	362
tt12240472	9.2	8
tt13587158	7.1	8
tt4431104	6.8	58
tt11949846	6.6	10
tt7626468	7.4	11
tt7927714	6.8	8
tt16227006	7.5	53
tt5528472	7.0	103
tt6411946	7.7	304
tt10984600	7.2	6
tt5528484	9.0	15
tt12083270	3.6	24
tt6543612	7.0	11
tt10010720	6.9	14
tt15144228	7.7	6
tt5528496	8.3	11
tt12083266	4.1	29
tt10720742	7.3	48
tt13612544	4.1	37
tt6097148	6.6	9
tt8350082	7.8	13
tt15697050	6.6	43
tt5881986	7.4	36
tt13587100	7.0	7
tt4288518	6.0	108
tt11935296	7.5	13
tt3719434	4.7	862
tt6097122	5.8	6
tt10010768	6.6	18
tt11646334	7.3	6
tt11225274	8.3	56
tt10984662	8.0	5
tt11646342	2.2	197
tt15144216	7.4	5
tt10970064	6.4	7
tt10970058	6.1	7
tt15144204	7.2	5
tt6964748	7.5	14575
tt10010748	8.6	27
tt10288820	5.2	160
tt11225292	7.5	59
tt10984686	5.4	524
tt7758130	8.4	15
tt11107756	7.4	37
tt10720690	9.0	72
tt10720694	7.9	74
tt13323510	7.5	38
tt15144070	8.8	6
tt10720666	6.3	40
tt10577906	6.8	270
tt10274584	8.7	34
tt9433040	7.7	1066
